# zee-spec-madde-kaniti-1
# madde	ozet	durum	kanit	not
spec/13-surumlu-morfoloji-profili.md#3d7a3f4def51b398	Çözüm algoritması (TANIMLI)	kanitli	compiler/tests/morfoloji_testi.rs::uretilen_her_iyelik_zinciri_iki_katmanla_geri_cozulur;compiler/tests/morfoloji_testi.rs::ters_ses_degisimi_korpusu_koku_korur;compiler/tests/morfoloji_testi.rs::gecersiz_ve_uc_katmanli_zincir_uretilmez;compiler/tests/morfoloji_testi.rs::ek_tablosundaki_her_yapisal_sonek_cakismasi_a002_olabilir;compiler/tests/morfoloji_testi.rs::uretilen_yuzeylerin_tum_adaylari_belirsizlikte_fail_closed_kalir	
spec/13-surumlu-morfoloji-profili.md#d3c483a8a2edf810	Kanonik üretim (TANIMLI)	kanitli	compiler/tests/morfoloji_testi.rs::kanonik_uretim_ornekleri_profil_icinde_degismez;compiler/tests/morfoloji_testi.rs::genis_deterministik_kok_uzayinda_uretim_cozumu_korur;compiler/tests/morfoloji_testi.rs::uretilen_her_tek_ek_ayni_koke_ve_ek_kimligine_cozulur	
spec/13-surumlu-morfoloji-profili.md#d60fa02fae27776a	Editör ve araçlar (TANIMLI)	kanitli	compiler/tests/lsp_testi.rs::yeniden_adlandirma_yalniz_secilen_symbolid_kapsamini_degistirir;compiler/tests/lsp_testi.rs::yeniden_adlandirma_yumusama_uretir;compiler/tests/morfoloji_testi.rs::cli_profili_ve_belirsiz_cozumleri_gorunur_kilar;compiler/tests/proje_testi.rs::surum_komutu_etkin_morfoloji_profilini_gosterir	
spec/13-surumlu-morfoloji-profili.md#ed419c033c80a0a8	Proje ve paket sabitlemesi (ZORUNLU)	kanitli	compiler/tests/proje_testi.rs::bildirim_morfoloji_profilini_sabitler_ve_bilinmeyeni_reddeder;compiler/tests/proje_testi.rs::yeni_komutu_proje_bildirimi_uretir	
spec/13-surumlu-morfoloji-profili.md#a2d975a6db29db4c	Alanı olmayan eski bildirim `zee-tr-1` kabul edilir. Yazılmış ama bu der…	kanitli	compiler/tests/proje_testi.rs::bildirim_morfoloji_profilini_sabitler_ve_bilinmeyeni_reddeder;compiler/tests/proje_testi.rs::yerel_paketler_kokenli_yuklenir_ve_icerikle_kilitlenir	
spec/13-surumlu-morfoloji-profili.md#2e722e296c2536a6	`zee-tr-1`in yayımlanmış uyumluluk kaydı **ZORUNLU** olarak şudur:	kanitli	compiler/tests/morfoloji_testi.rs::zee_tr_1_semantik_parmak_izi_immutable_fixture_ile_ayni_kalir	
spec/13-surumlu-morfoloji-profili.md#b1691dc92c97bcb4	Kayıt; profil dökümünü, 11 sabit sınır yüzeyinin bütün çözümlerini ve 4.…	kanitli	compiler/tests/morfoloji_testi.rs::zee_tr_1_semantik_parmak_izi_immutable_fixture_ile_ayni_kalir;compiler/tests/morfoloji_conformance_testi.rs::bagimsiz_json_korpusu_profil_cozum_karar_ve_uretimi_birebir_tanimlar	
spec/14-yapilandirilmis-eszamanlilik.md#85afa48c8d7569ab	Normatif kaynak: RFC-0011 (geçici kabul), K-090/K-124/K-133/K-134. Durum…	kanitli	compiler/tests/eszamanlilik_conformance_testi.rs::bagimsiz_korpus_schedulerin_gozlenebilir_v1_sozunu_sabitler;compiler/tests/ag_ve_esz_testi.rs::scheduler_bekleme_noktalarinda_kaynak_sirasiyla_ilerler;compiler/tests/ag_ve_esz_testi.rs::gorev_hatasi_bekleyen_kardesi_iptal_eder;compiler/tests/ag_ve_esz_testi.rs::dis_son_tarih_gorev_agacini_birlikte_iptal_eder;compiler/tests/ag_ve_esz_testi.rs::gorev_grubu_ayni_sozcuksel_kapsamda_join_edilmelidir;compiler/tests/ag_ve_esz_testi.rs::bekle_oncesi_erisim_derleme_hatasi;compiler/tests/ag_ve_esz_testi.rs::eylem_gorevde_atomik_dilimdir_ve_hatasinda_geri_alinir	
spec/14-yapilandirilmis-eszamanlilik.md#564dfcc84f1c45a9	- Görev bildirimi ile `hepsini bekle` arasındaki ana-kapsam cümleleri ön…	kanitli	compiler/tests/ag_ve_esz_testi.rs::join_gorevleri_baslatir_ve_esit_uyanis_kaynak_sirasidir;compiler/tests/ag_ve_esz_testi.rs::ic_gorev_agacinin_beklemesi_dis_kardese_yol_verir	
spec/15-yapilandirilmis-hata-degeri.md#b578f0f92974351d	Normatif kaynak: RFC-0008 §3 (geçici kabul), K-091. Durum: **TANIMLI**.	kanitli	compiler/tests/yapilandirilmis_hata_testi.rs::kod_mesaj_neden_veri_ve_esleme_birlikte_calisir;compiler/tests/yapilandirilmis_hata_testi.rs::hata_jsonu_neden_zincirini_ve_veriyi_korur;compiler/tests/yapilandirilmis_hata_testi.rs::dene_yerlesikleri_kararli_kodlar_uretir;compiler/tests/yapilandirilmis_hata_testi.rs::hata_yeniden_yayilirken_yapi_korunur;compiler/tests/yapilandirilmis_hata_testi.rs::hata_kodu_kanonik_olmali	
spec/15-yapilandirilmis-hata-degeri.md#7034ab066540938d	`Sonuç<T>` gösterimi kaynakta tek başarı türü parametresi taşır; hata ta…	kanitli	compiler/tests/yapilandirilmis_hata_testi.rs::kod_mesaj_neden_veri_ve_esleme_birlikte_calisir;compiler/tests/yapilandirilmis_hata_testi.rs::neden_ve_veri_turleri_derlemede_korunur;compiler/tests/daraltma_testi.rs::sonuc_hatasi_ancak_basarisizsa_dalinda	
spec/15-yapilandirilmis-hata-degeri.md#edab075c6456e698	Geriye uyumluluk ZORUNLUDUR:	kanitli	compiler/tests/yapilandirilmis_hata_testi.rs::eski_metin_hatasi_genel_koduyla_geriye_uyumludur;compiler/tests/golden_testi.rs::golden_16_sonuc_ve_hata	
spec/16-keyfi-hassasiyetli-ondalik.md#da8d4b67e46b4a1a	Normatif kaynak: RFC-0013 (K-092 revizyonu), ADR-029/K-125. Durum: **TAN…	kanitli	compiler/tests/ondalik_testi.rs::keyfi_hassasiyetli_sabit_kayipsizdir;compiler/tests/ondalik_testi.rs::buyuk_katsayi_ve_sonlu_bolum_tamdir;compiler/tests/ondalik_testi.rs::cok_kucuk_deger_karsilastirma_ve_jsonda_korunur;compiler/tests/ondalik_testi.rs::uzun_negatif_girdi_ondaliga_kayipsiz_cevrilir;compiler/src/ondalik.rs::sonlu_ve_sonsuz_bolum_ayrilir;compiler/src/ondalik.rs::keyfi_katsayi_tam_islemleri_korur	
spec/16-keyfi-hassasiyetli-ondalik.md#cdcdaf0976319e20	Ondalık için C `float`/`double`, binary32 veya binary64'e örtük ABI eşle…	kanitli	compiler/tests/ffi_sinir_testi.rs::ondalik_binary_floata_ortuk_eslenemez	
spec/17-deger-semantigi-ve-gezme.md#4f89c1719f2de31a	Genel değer modeli (TANIMLI)	kanitli	compiler/tests/koleksiyon_testi.rs::gezmede_deger_kopyalari_alias_olusturmaz	
spec/17-deger-semantigi-ve-gezme.md#d7b9790d2a864679	Liste gezmesi: değer-sonuç imleci (TANIMLI)	kanitli	compiler/tests/koleksiyon_testi.rs::gezmede_oge_degisikligi_listeye_yansir;compiler/tests/koleksiyon_testi.rs::gezmede_yeniden_baglama_listeye_yansir;compiler/tests/koleksiyon_testi.rs::gezmede_deger_sonuc_ozelligi_uzunluktan_bagimsizdir	
spec/17-deger-semantigi-ve-gezme.md#e32d3ba1f6dd799f	Kaynağın sabitliği (ZORUNLU)	kanitli	compiler/tests/koleksiyon_testi.rs::gezilen_koleksiyonun_bicimi_sabittir	
spec/17-deger-semantigi-ve-gezme.md#13ae1c5c0a972582	Bir Liste veya Sözlük kaynak olarak gezilirken, o kaynak ad üzerinde aşa…	kanitli	compiler/tests/koleksiyon_testi.rs::gezilen_koleksiyonun_bicimi_sabittir	
spec/17-deger-semantigi-ve-gezme.md#0bc926a186600ce6	Sözlük gezmesi (TANIMLI)	kanitli	compiler/tests/golden_testi.rs::golden_10_sozlukler;compiler/tests/koleksiyon_testi.rs::gezilen_koleksiyonun_bicimi_sabittir	
spec/18-paket-yayini.md#2e92c5f3be562105	Komutlar (TANIMLI)	kanitli	compiler/tests/tedarik_testi.rs::cli_anahtar_ve_paketle_akisini_turkce_sunar	
spec/18-paket-yayini.md#462ad233026b1d52	`anahtar üret` yalnız yeni dosya oluşturur; var olanı YASAK olarak korur…	kanitli	compiler/tests/tedarik_testi.rs::anahtar_ezilmez_yerel_bagimlilik_ve_sembolik_bag_yayinlanmaz;compiler/tests/tedarik_testi.rs::derlenmeyen_ve_girisi_eksik_proje_yayin_ciktisi_birakmaz	
spec/18-paket-yayini.md#0fba3ede1dc45000	Çıktı kümesi (ZORUNLU)	kanitli	compiler/tests/tedarik_testi.rs::kaynak_paketi_sbom_provenance_ve_imza_byte_byte_tekrar_uretilir	
spec/18-paket-yayini.md#fc5783f951bcd414	`SOURCE_DATE_EPOCH` negatif olmayan Unix saniyesiyse SPDX CreationInfo z…	kanitli	compiler/tests/tedarik_testi.rs::kaynak_paketi_sbom_provenance_ve_imza_byte_byte_tekrar_uretilir;compiler/tests/tedarik_testi.rs::cli_anahtar_ve_paketle_akisini_turkce_sunar;compiler/src/artefakt_dogrulama.rs::sha_kimligi_ve_utc_zamani_kararlidir	
spec/18-paket-yayini.md#3d9d3f322138bed8	`.zep` v1 biçimi (TANIMLI)	kanitli	compiler/tests/tedarik_testi.rs::kanonik_zep_fixture_i_butun_tier1_platformlarda_ayni_bayttir;compiler/src/artefakt_dogrulama.rs::dosya_sistemi_yolu_nfcye_kanoniklenir_arsiv_nfd_yolu_reddeder	
spec/18-paket-yayini.md#50e8aeadd4abd436	ZORUNLU limitler:	kanitli	compiler/src/artefakt_dogrulama.rs::arsiv_sayi_yol_ve_tekillik_sinirlarini_ayirmadan_denetler	
spec/18-paket-yayini.md#76701c7e0e669e14	Mutlak yol, ters bölü, NUL, boş/`.`/`..` bileşen, yinelenen/sırasız yol,…	kanitli	compiler/src/artefakt_dogrulama.rs::bozuk_arsiv_yolu_ve_fazladan_byte_reddedilir;compiler/src/artefakt_dogrulama.rs::kalici_saldiri_korpusu_butun_unicode_yol_saldirilarini_reddeder;compiler/src/artefakt_dogrulama.rs::arsiv_sayi_yol_ve_tekillik_sinirlarini_ayirmadan_denetler	
spec/18-paket-yayini.md#b255ab92e378a608	SBOM (ZORUNLU)	kanitli	compiler/tests/tedarik_testi.rs::kaynak_paketi_sbom_provenance_ve_imza_byte_byte_tekrar_uretilir;compiler/tests/tedarik_testi.rs::imza_arsiv_sbom_ve_provenance_oynamalari_fail_closed_reddedilir	
spec/18-paket-yayini.md#fff2c7659d478a5e	Provenance (ZORUNLU)	kanitli	compiler/tests/tedarik_testi.rs::kaynak_paketi_sbom_provenance_ve_imza_byte_byte_tekrar_uretilir;compiler/tests/tedarik_testi.rs::imza_arsiv_sbom_ve_provenance_oynamalari_fail_closed_reddedilir	
spec/18-paket-yayini.md#6fd51b69d4d4ed36	Yayın imzası (ZORUNLU)	kanitli	compiler/tests/tedarik_testi.rs::kaynak_paketi_sbom_provenance_ve_imza_byte_byte_tekrar_uretilir;compiler/tests/tedarik_testi.rs::imza_arsiv_sbom_ve_provenance_oynamalari_fail_closed_reddedilir	
spec/18-paket-yayini.md#1b86c09f7b15b44d	İmza girdisi `zee-yayin-v1\0` byte alan ayrımı ile `imzali` nesnesinin s…	kanitli	compiler/tests/tedarik_testi.rs::imza_arsiv_sbom_ve_provenance_oynamalari_fail_closed_reddedilir	
spec/18-paket-yayini.md#39def6b1956612ab	imzalı bildirimle eşleşmek ZORUNDADIR. Bu zincirin herhangi bir byte'ı d…	kanitli	compiler/tests/tedarik_testi.rs::imza_arsiv_sbom_ve_provenance_oynamalari_fail_closed_reddedilir	
spec/18-paket-yayini.md#2af407978947e1d4	Üretici dört dosyayı yazmadan önce bütün kümeyi tüketici doğrulayıcıyla …	kismi	compiler/tests/tedarik_testi.rs::derlenmeyen_ve_girisi_eksik_proje_yayin_ciktisi_birakmaz;compiler/tests/tedarik_testi.rs::kaynak_paketi_sbom_provenance_ve_imza_byte_byte_tekrar_uretilir	Yazmadan önce tam doğrulama ve yarım küme reddi kanıtlı; süreç çökmesi ortasında yarım küme senaryosu enjekte edilmiyor (söz de verilmiyor).
spec/19-registry-metadata-guveni.md#36538207103cee1c	Zarf ve imza girdisi (TANIMLI)	kanitli	compiler/src/registry.rs::tam_rol_zinciri_dogrulanir_ve_durum_acikca_uygulanir;compiler/src/registry.rs::expiry_mix_and_match_ve_kanonik_olmayan_metadata_reddedilir	
spec/19-registry-metadata-guveni.md#ccdd51237966cbb0	Dosya `serde_json::to_vec_pretty` alan sırası, iki boşluklu girinti ve t…	kanitli	compiler/src/registry.rs::expiry_mix_and_match_ve_kanonik_olmayan_metadata_reddedilir;compiler/src/registry.rs::tam_rol_zinciri_dogrulanir_ve_durum_acikca_uygulanir	
spec/19-registry-metadata-guveni.md#37176796c1d696a3	Root (ZORUNLU)	kanitli	compiler/src/registry.rs::root_sabitleme_esik_ve_cift_esikli_ardisik_rotasyon_ister;compiler/src/registry.rs::metadata_boyut_limiti_ayirmadan_reddedilir	
spec/19-registry-metadata-guveni.md#645c1ec3258bda2b	İlk root byte'ı ağ dışı `sha256:` sabitlemesi, root'un kendi eşiği ve sü…	kanitli	compiler/src/registry.rs::root_sabitleme_esik_ve_cift_esikli_ardisik_rotasyon_ister;compiler/src/registry/istemci/testler.rs::tasinan_cift_esikli_root_kalici_duruma_ve_offline_dogrulamaya_gecer	
spec/19-registry-metadata-guveni.md#c7e89ae089b45a5a	Çevrimiçi roller (ZORUNLU)	kanitli	compiler/src/registry.rs::tam_rol_zinciri_dogrulanir_ve_durum_acikca_uygulanir;compiler/src/registry.rs::rollback_ve_gecersiz_zincir_fast_forward_durumunu_zehirlemez;compiler/src/registry.rs::expiry_mix_and_match_ve_kanonik_olmayan_metadata_reddedilir;compiler/src/registry.rs::metadata_boyut_limiti_ayirmadan_reddedilir	
spec/19-registry-metadata-guveni.md#58b5fc2aac7e3d65	Exact hedef ve yayıncı yetkisi (ZORUNLU)	kanitli	compiler/src/registry.rs::yanked_ve_kritik_duyuru_acik_politika_ister;compiler/src/registry.rs::yanlis_yayinci_targets_yetkisini_gecemez;compiler/src/paket/uzak/politika.rs::kritik_kabul_anahtari_duyuru_kumesine_baglidir	
spec/19-registry-metadata-guveni.md#b288544c36be4eed	Kaynak limitleri (ZORUNLU)	kanitli	compiler/src/registry.rs::metadata_boyut_limiti_ayirmadan_reddedilir;compiler/src/artefakt_dogrulama.rs::arsiv_sayi_yol_ve_tekillik_sinirlarini_ayirmadan_denetler	
spec/19-registry-metadata-guveni.md#63764a0a38fa908e	Taşıma, kalıcı durum ve cache (TANIMLI — K-135)	kanitli	compiler/src/registry/istemci/testler.rs::cevrimici_zincir_dogrulanmadan_cache_ve_durum_yayimlanmaz;compiler/src/registry/istemci/testler.rs::dogrulanmis_cache_offline_acilir_ve_bozuk_nesne_fail_closed_kalir;compiler/src/registry/istemci/testler.rs::rollback_kalici_durumu_ve_offline_miss_sessizce_gecemez;compiler/src/registry/istemci/testler.rs::gercek_tasiyici_yalniz_https_origin_ve_guvenli_statik_yol_kabul_eder;compiler/src/kalici_dosya.rs::karsilastir_ve_yaz_bayat_registry_durumunu_ezmez	
spec/19-registry-metadata-guveni.md#8fd653a2877faf6d	Proje, kilit ve CLI bağı (TANIMLI — K-136)	kanitli	compiler/src/registry/istemci/testler.rs::exact_registry_paketi_proje_grafigi_kilit_ve_offline_derlemeye_baglanir;compiler/tests/proje_testi.rs::uzak_bagimlilik_exact_registry_root_kimligine_baglanir;compiler/src/cli/registry.rs::uzak_ekle_secenekleri_exact_pin_ve_gerekceleri_ayirir;compiler/src/cli/registry.rs::paketler_yenile_ve_cevrimdisi_birlikte_reddedilir	
spec/19-registry-metadata-guveni.md#b457e6bbd4c5c8c0	Origin yol/sorgu taşımayan HTTPS olmak, root sürümü pozitif olmak ve roo…	kanitli	compiler/tests/proje_testi.rs::uzak_bagimlilik_exact_registry_root_kimligine_baglanir;compiler/src/registry/istemci/testler.rs::gercek_tasiyici_yalniz_https_origin_ve_guvenli_statik_yol_kabul_eder	
spec/20-ifade-grameri.md#4acac9ed3a22bc98	Bir ifade bölgesi ya bütünüyle tek bir AST olarak ayrıştırılır ya kararl…	kanitli	compiler/tests/ifade_grameri_testi.rs::tanimsiz_katman_bilesimi_sessizce_yorumlanmaz;compiler/tests/bicimleyici_testi.rs::golden_korpus_parse_esdegerligini_korur	
spec/20-ifade-grameri.md#b4ffb3e8cf9ced00	6. Aynı zincirde `ve` ve `veya` karışırsa öncelik uydurmak **YASAK**tır;…	kanitli	compiler/tests/ifade_grameri_testi.rs::ve_veya_icin_ortuk_oncelik_uydurulmaz;compiler/tests/golden_testi.rs::ve_veya_karisimi_reddedilir	
spec/20-ifade-grameri.md#f99a46c82b400203	- Erişim/postfix ve çağrı, desteklenen aritmetik kalıbın güçlü operandı …	kanitli	compiler/tests/ifade_grameri_testi.rs::cagri_aritmetikten_daha_siki_baglanir;compiler/tests/ifade_grameri_testi.rs::erisim_postfix_aritmetikten_daha_siki_baglanir;compiler/tests/ifade_grameri_testi.rs::postfix_gorunur_islem_adi_tarafindan_golgelenmez;compiler/tests/ifade_grameri_testi.rs::en_uzun_islem_adi_cagri_katmaninda_kazanir;compiler/tests/ifade_grameri_testi.rs::tam_islem_adi_sifir_argumanli_cagriyi_korur	
spec/20-ifade-grameri.md#9e6ff6eae39dcdf7	- Karşılaştırmalar homojen boolean zincir oluşturabilir (**TANIMLI**).	kanitli	compiler/tests/ifade_grameri_testi.rs::karsilastirmalar_boolean_zincirden_once_kurulur;compiler/tests/golden_testi.rs::ve_zinciri_ve_kisa_devre;compiler/tests/golden_testi.rs::veya_zinciri	
spec/20-ifade-grameri.md#b07fa64e7cc29abf	- Çağrı sonucuna doğrudan postfix ekleme ve genel aritmetik sonucu üzeri…	kanitli	compiler/tests/ifade_grameri_testi.rs::tanimsiz_katman_bilesimi_sessizce_yorumlanmaz	
spec/20-ifade-grameri.md#2b7ea296c824d19f	- Parantezle serbest gruplama spec/02 gereği **YASAK**tır. K-016 bunu de…	kanitli	compiler/tests/golden_testi.rs::a06_parantezli_blok_reddedilir	
spec/20-ifade-grameri.md#1605322218ee42b0	- Çağrı argümanı içindeki `ve` argüman ayırıcıdır. Boolean değeri argüma…	kanitli	compiler/tests/ozyineleme_testi.rs::cok_tokenli_cagri_argumanlari;compiler/tests/golden_testi.rs::golden_13_islem_parametreleri	
spec/21-deterministik-io-izi.md#a2c168c8984a728d	Kayıt (TANIMLI)	kanitli	compiler/tests/io_izi_testi.rs::program_gercek_io_izinden_dis_dunyasiz_aynen_oynatilir;compiler/tests/io_izi_cli_testi.rs::cli_kaydi_dis_dunyasiz_ayni_ciktiyla_oynatir	
spec/21-deterministik-io-izi.md#12b027add9fd0ee2	Replay (TANIMLI)	kanitli	compiler/tests/io_izi_testi.rs::replay_sira_arguman_ve_tam_tuketimde_fail_closed_durur	
spec/21-deterministik-io-izi.md#5f5677ea4cd59783	`IzYenidenOynatici` dış IO adaptörü kullanmaz. Her çağrı sıradaki olayın…	kanitli	compiler/tests/io_izi_testi.rs::replay_sira_arguman_ve_tam_tuketimde_fail_closed_durur;compiler/tests/io_izi_testi.rs::dosya_yasam_dongusu_izi_fiziksel_etki_yapmadan_oynatilir;compiler/tests/io_izi_testi.rs::postgresql_okuma_yazma_ve_yapilandirilmis_hata_izden_aynen_oynatilir;compiler/tests/io_izi_cli_testi.rs::cli_kaynak_degisimini_ve_kaynak_uzerine_izi_reddeder	
spec/21-deterministik-io-izi.md#3ed3bb6c7d1967f9	Şema-1 byte biçimi (TANIMLI)	kanitli	compiler/tests/io_izi_testi.rs::iz_byte_bicimi_surumlu_ve_kanoniktir;compiler/tests/io_izi_testi.rs::bozuk_ve_kanonik_olmayan_izler_yurutulmeden_reddedilir	
spec/21-deterministik-io-izi.md#178246f0eb27adde	Gizlilik (TANIMLI)	kanitli	compiler/tests/io_izi_testi.rs::parola_ve_ozet_ham_ya_da_hexlenmis_halde_ize_sizmaz	
spec/22-deterministik-io-profili.md#1724e15d06969cda	Rastgelelik (TANIMLI)	kanitli	compiler/tests/deterministik_io_profili_testi.rs::profil_kimligi_ve_tohumlu_dizi_snapshot_ile_sabitlenir;compiler/tests/deterministik_io_profili_testi.rs::rastgele_araligi_uclari_ve_tam_i64_uzayini_tasmadan_korur	
spec/22-deterministik-io-profili.md#5b4fb2ac2185b9c4	Conformance vektörü: tohum 7 ile altı `[1,100]` çağrısı sırasıyla `47, 2…	kanitli	compiler/tests/deterministik_io_profili_testi.rs::profil_kimligi_ve_tohumlu_dizi_snapshot_ile_sabitlenir;compiler/src/guvenlik.rs::guvenli_belirtecler_256_bit_ve_farklidir	
spec/22-deterministik-io-profili.md#f21842e26d625287	Takvim ve tekdüze saat (TANIMLI)	kanitli	compiler/tests/deterministik_io_profili_testi.rs::sanal_saat_geriye_gitmez_ve_takvim_saatinden_ayridir	
spec/22-deterministik-io-profili.md#e29a54e2b7259711	Hermetik adaptör (TANIMLI)	kanitli	compiler/tests/deterministik_io_profili_testi.rs::toplayan_io_rastgele_kuyrugunu_araliga_kirpar_ve_alt_uca_duser;compiler/tests/deterministik_io_profili_testi.rs::hermetik_io_ve_playground_ayni_gozlenebilir_profili_korur;compiler/tests/ag_ve_esz_testi.rs::golden_29_esp32_simulatoru	
spec/22-deterministik-io-profili.md#d68db0760744fd45	Profilin bu gözlemlerinden birini kıran değişiklik yeni profil kimliği, …	kismi	compiler/tests/deterministik_io_profili_testi.rs::profil_kimligi_ve_tohumlu_dizi_snapshot_ile_sabitlenir;compiler/tests/deterministik_io_profili_testi.rs::hermetik_io_ve_playground_ayni_gozlenebilir_profili_korur	Snapshot gözlem değişikliğini yakalar; yeni profil kimliği/RFC zorunluluğu süreç kuralıdır, makinece yalnız snapshot farkıyla görünür.
spec/23-yetkinlik-ve-outbound-guvenligi.md#1fa747d804122b01	Yetkinlik kümesi (TANIMLI)	kanitli	compiler/tests/yetkinlik_testi.rs::derleme_oncesi_kullanilan_yetkinligi_kesin_kaynakta_reddeder;compiler/tests/proje_testi.rs::bildirim_yetkinlikleri_ve_tam_ag_originlerini_dogrular	
spec/23-yetkinlik-ve-outbound-guvenligi.md#294d2f55dad4dd6c	`proje.dil` içindeki `yetkinlikler` ve `ağ_hedefleri` yoksa boş listedir…	kanitli	compiler/tests/proje_testi.rs::bildirim_yetkinlikleri_ve_tam_ag_originlerini_dogrular;compiler/tests/proje_testi.rs::paket_ana_projenin_vermedigi_yetkinligi_genisletemez;compiler/tests/proje_testi.rs::postgresql_bildirimi_sirri_kaynaga_almadan_kesin_hedefi_kilitler	
spec/23-yetkinlik-ve-outbound-guvenligi.md#80fd922ee86ce514	Origin ve IP kuralları (TANIMLI)	kanitli	compiler/tests/yetkinlik_testi.rs::sabit_outbound_hedefi_proje_allowlistine_baglanir;compiler/src/yetkinlik.rs::ag_hedefi_origini_kanonikler_ve_yolu_ayirir	
spec/23-yetkinlik-ve-outbound-guvenligi.md#408e5ed6cb359736	Bildirim hedefi yalnız `http://host[:port]` veya `https://host[:port]` o…	kanitli	compiler/src/yetkinlik.rs::ag_adresi_kullanici_parca_ters_bolu_ve_gecersiz_portu_reddeder;compiler/src/yetkinlik.rs::proje_ag_izni_tam_originle_eslesir;compiler/tests/proje_testi.rs::bildirim_yetkinlikleri_ve_tam_ag_originlerini_dogrular	
spec/23-yetkinlik-ve-outbound-guvenligi.md#bf1c45b4eb72986e	Public hedef HTTPS olmak ZORUNDADIR. Düz HTTP bildirimi için `yerel-ağ` …	kanitli	compiler/src/yetkinlik.rs::dns_sonrasi_private_ve_metadata_fail_closed_kalir;compiler/src/ag_istemcisi.rs::yerel_hedef_acik_izin_ister_ve_redirect_izlenmez;compiler/src/ag_istemcisi.rs::yanit_govdesi_bellek_sinirini_asamaz;compiler/src/main.rs::http_istemcisi_acik_yerel_ag_izniyle_varsayilan_sureyi_kullanir	
spec/23-yetkinlik-ve-outbound-guvenligi.md#defb81a1bb0cda45	K-139/ADR-036 ile aynı `AgHedefi` origin ayrıştırıcısı production web pr…	kanitli	compiler/tests/mimari_sinir_testi.rs::web_proxy_origin_tek_ag_hedefi_parserini_kullanir;compiler/src/main.rs::guvenli_origin_ortak_ag_hedefiyle_kanoniklenir	
spec/23-yetkinlik-ve-outbound-guvenligi.md#f0e70483cad0fd30	Compile ve runtime uygulaması (TANIMLI)	kanitli	compiler/tests/yetkinlik_testi.rs::derleme_oncesi_kullanilan_yetkinligi_kesin_kaynakta_reddeder;compiler/tests/yetkinlik_testi.rs::kullanilmayan_islem_de_yetkinligi_gizleyemez	
spec/23-yetkinlik-ve-outbound-guvenligi.md#f0938f15814bc364	Ana program, bütün testler ve çağrılmayan işlemler dahil her gövdenin dı…	kanitli	compiler/tests/yetkinlik_testi.rs::derleme_oncesi_kullanilan_yetkinligi_kesin_kaynakta_reddeder;compiler/tests/yetkinlik_testi.rs::kullanilmayan_islem_de_yetkinligi_gizleyemez;compiler/tests/yetkinlik_testi.rs::sabit_outbound_hedefi_proje_allowlistine_baglanir;compiler/tests/guvenli_testi.rs::ag_kapali;compiler/tests/guvenli_testi.rs::ust_dizin_engellenir;compiler/tests/guvenli_testi.rs::mutlak_yol_engellenir	
spec/23-yetkinlik-ve-outbound-guvenligi.md#08f4989f6f63a886	Paket yetkisi (TANIMLI)	kanitli	compiler/tests/proje_testi.rs::paket_ana_projenin_vermedigi_yetkinligi_genisletemez	
spec/23-yetkinlik-ve-outbound-guvenligi.md#79b2389c4c01098b	Her paket kendi `proje.dil` ihtiyacını bildirir. Paket yetkinlik ve orig…	kanitli	compiler/tests/proje_testi.rs::paket_ana_projenin_vermedigi_yetkinligi_genisletemez	
spec/24-kaynak-guvenlik-profili.md#664f6a631418540f	Normatif kaynak: RFC-0025, ADR-033, ADR-035, ADR-037, ADR-040. Durum: **…	kanitli	compiler/tests/kaynak_sinirlari_testi.rs::runtime_cikti_olay_butcesini_kontrollu_taniyla_keser;compiler/tests/mimari_sinir_testi.rs::domain_kaynak_limitleri_tek_profilden_beslenir	
spec/24-kaynak-guvenlik-profili.md#0cb990dcadbe0282	Resmî derleyici, runtime, CLI ve LSP aynı değişmez `KaynakSinirlari` pro…	kanitli	compiler/tests/mimari_sinir_testi.rs::domain_kaynak_limitleri_tek_profilden_beslenir;compiler/src/kaynak_sinirlari/testler.rs::varsayilan_profil_kritik_limitleri_sifira_birakmaz;compiler/src/kaynak_sinirlari/testler.rs::buyuk_bellek_kaynagi_s045_ile_reddedilir	
spec/24-kaynak-guvenlik-profili.md#d633ad6199f0eeb8	- Çalışma veya web isteği, ortam/koleksiyon yazımları ve görev ortamı kl…	kanitli	compiler/tests/kaynak_sinirlari_testi.rs::saklanan_degerler_calisma_heap_butcesini_asamaz;compiler/tests/kaynak_sinirlari_testi.rs::gorev_ortami_klonlari_kurulmadan_heap_butcesine_girer;compiler/tests/kaynak_sinirlari_testi.rs::metin_buyumesi_tahsis_oncesi_kesilir	
spec/24-kaynak-guvenlik-profili.md#5dac4f32af81ff10	Native web başlığı en çok 16 KiB, gövdesi 64 KiB'dır. Başlık sonu ham ba…	kanitli	compiler/tests/http_istegi_testi.rs::gecersiz_utf8_nul_eksik_ve_fazla_govde_reddedilir;compiler/tests/http_istegi_testi.rs::transfer_encoding_duplicate_ve_kuralsiz_content_length_reddedilir;compiler/tests/web_testi.rs::fazla_govde_ve_alan_413_doner;compiler/tests/mimari_sinir_testi.rs::http_istek_framingi_byte_parserinda_tek_sahiplidir	
